InvAccount,Date,SecCode,SecQtyCls,ShortQtyCls,VWAP,CoupInc,VWAPValution,ShortValution
RVWQF,31/07/2015,BANEP,1,0,1356.00,0.00,1356.00,0.00
RVWQF,31/07/2015,SNGSP,1900,0,37.10,0.00,70490.00,0.00
