InvAccount,Date,SecCode,SecQtyCls,ShortQtyCls,VWAP,CoupInc,VWAPValution,ShortValution
RVWQF,30/06/2015,BANEP,1,0,1408.00,0.00,1408.00,0.00
RVWQF,30/06/2015,SNGSP,1900,0,42.55,0.00,80845.00,0.00
