InvAccount,Date,SecCode,SecQtyCls,ShortQtyCls,VWAP,CoupInc,VWAPValution,ShortValution
RVWQF,05/08/2015,BANEP,1,0,1357.00,0.00,1357.00,0.00
RVWQF,05/08/2015,SNGSP,1900,0,36.81,0.00,69948.50,0.00
